Source,Reference_number,Duplicate_record,soil.id,Reference,Latitude_deg,Longitude_deg,Soil_type,Depth_cm,Ecosystem_type,climate,Temp_mean,q10calc,substrate,Q10,corg,norg,clay,ph
Hamdi2013,16,,67,Dalias et al. 2001,64_00'N,21_05'E,Dalias-Vind,,forest,temperate,26.5,equal-C,N,0.7,44,1.17,,3.6
Hamdi2013,16,,68,Dalias et al. 2001,50_08'N,11_52'W,Dalias-WaldOf,,forest,temperate,7,equal-C,N,1.9,47.2,1.8,,3.4
Hamdi2013,16,,68,Dalias et al. 2001,50_08'N,11_52'W,Dalias-WaldOf,,forest,temperate,13,equal-C,N,2.1,47.2,1.8,,3.4
Hamdi2013,16,,68,Dalias et al. 2001,50_08'N,11_52'W,Dalias-WaldOf,,forest,temperate,19.5,equal-C,N,1.5,47.2,1.8,,3.4
Hamdi2013,16,,68,Dalias et al. 2001,50_08'N,11_52'W,Dalias-WaldOf,,forest,temperate,26.5,equal-C,N,1.1,47.2,1.8,,3.4
Hamdi2013,16,,69,Dalias et al. 2001,50_08'N,11_52'W,Dalias-WaldOh,,forest,temperate,7,equal-C,N,3,34,1.07,11,3.5
Hamdi2013,16,,69,Dalias et al. 2001,50_08'N,11_52'W,Dalias-WaldOh,,forest,temperate,13,equal-C,N,1.5,34,1.07,11,3.5
Hamdi2013,16,,69,Dalias et al. 2001,50_08'N,11_52'W,Dalias-WaldOh,,forest,temperate,19.5,equal-C,N,2,34,1.07,11,3.5
Hamdi2013,16,,69,Dalias et al. 2001,50_08'N,11_52'W,Dalias-WaldOh,,forest,temperate,26.5,equal-C,N,1,34,1.07,11,3.5
Hamdi2013,17,,70,Elberling and Brandt 2003,56_N,,Node,0 to 20,forest,temperate,-5,equal-time,N,50,,,,
Hamdi2013,17,,70,Elberling and Brandt 2003,56_N,,Node,0 to 20,forest,temperate,5,equal-time,N,3.63,,,,
Hamdi2013,17,,70,Elberling and Brandt 2003,56_N,,Node,0 to 20,forest,temperate,15,equal-time,N,2.34,,,,
Hamdi2013,17,,71,Elberling and Brandt 2003,74_28'N,20_34'W,Zack,0 to 20,tundra,cold,-5,equal-time,N,22.3,6.5,0.4,,
